Beautiful Solutions Entry: ID,Beautiful Solutions Entry: beautiful solution name,Type,Short Write-Up,Learn More,Primary contributor name,Values exemplified,Related Stories,Related Solutions,Related Theories,Tags,Scale,Additional authors,Who?,Where?,When,IMAGE LINK,image_name,image_caption,IMAGE RIGHTS,image_source,image_source_url
a16E0000002QGCU,Dudley Street Neighborhood Initiative,Story,"Decades of redlining, arson, and sham “urban renewal” efforts in the latter half of the twentieth century left 30 percent of the land in the Dudley neighborhood of Boston vacant. In response, residents started the Dudley Street Neighborhood Initiative and launched a grassroots, community-controlled planning effort. Their Declaration of Community Rights states that residents, “have the right to participate in all planning, programs, and policies affecting our lives.” This ongoing effort has reclaimed land from absentee landlords — through a Community Land Trust with the power of eminent domain — and created hundreds of units of affordable housing, along with schools, parks, gardens, and other public spaces.","Dudley Street Neighborhood Initiative
Sustainable economic development
Website
http://www.dsni.org/

Streets of Hope: The Fall and Rise of an Urban Neighborhood
by Peter Medoff & Holly Sklar
Book
http://www.southendpress.org/2004/items/StreetsHope

Gaining Ground: Building Community on Dudley Street
by Holding Ground Productions
Video
http://www.holdinggroundproductions.com/",Paul J. Kuttner,Advances justice; Builds resilience; Creates more possibilities; Cultivates abundance; Deepens democracy; Displaces extractive industry; Extends the commons,Philadelphia Land Bank,Community land trusts; Community wealth building,Community as developer; The commons,community development; democracy; equity; housing; land use; stewardship; urban planning,Local,,Dudley Street Neighborhood Initiative,"Boston, MA",1984&ndash;Present,https://drive.google.com/file/d/0B9V3YcrBGGVfaXBaNEh3a3hpc2M/edit?usp=sharing,Dudley-Street-Neighborhood-Initiative.jpg,"Dudley Square headquarters of The Food Project, a DSNI supported organization.",Creative Commons,Google Street View,
a16E0000002QHR5,Cowry Collective timebank,Story,"The Cowry Collective Timebank is a people-of-color-led network engaged in reciprocal exchange of services, skills, and goods through timebanking , where the currency exchanged is the time spent by members. Through membership in the timebank, people create and strengthen community bonds, build economic freedom by providing an alternative means of meeting needs and desires, and encourage creativity in redefining self-sufficiency, interdependence and valuation of time. In St. Louis, the sixth most segregated city in the U.S., timebanking is a tool for addressing racial inequality and bridging racial divides through a process of community building that happens person by person, one hour at a time.","The Cowry Collective
The Cowry Collective homepage
Website
www.thecowrycollective.org

The Cowry Collective Blog
Where the Cowry Collective posts news and updates
Website
http://www.thecowrycollective.blogspot.com/

Time Is Money: Chinyere Oteh on Time Banking
An article in St. Louis Magazine by Rosalind Early
Article
http://www.stlmag.com/Time-Is-Money-Chinyere-Oteh-on-Time-Banking/

The Cowry Collective animated video
A short video about the Cowry Collective and timebanking
Video
https://www.youtube.com/watch?v=bT2H8za8y-A",Chinyere E. Oteh,Builds resilience; Creates more possibilities; Cultivates abundance; Extends the commons,,Community currency; Timebanking,Resilience-based organizing; Sense of place; Social imagination,community development; living economies; work,Local,,The Cowry Collective Timebank,"St. Louis, Missouri, USA",2010&ndash;Present,https://drive.google.com/file/d/0B9V3YcrBGGVfTVRGVHFOUW9vWkE/edit?usp=sharing,Cowry-Collective-Timebank.jpg,A screen grab from Cowry Collective’s video about timebanking.,,Cowry Collective,https://www.youtube.com/watch?v=bT2H8za8y-A
a16E0000002QHS9,Initiative 136,Story,"When the Greek government announced the sale of Thessaloniki’s state-managed water company in 2011, activists from the occupied squares joined the water workers to propose an alternative to both private and state management. The resulting campaign, Initiative 136, proposes the democratic, transparent and environmentally responsible management of water by local non-profit cooperatives. Its main premise is that 136 euros contributed by each household would be enough to ensure true common ownership of this vital good. 
In May 2014, this campaign was the driving force behind a grassroots referendum where 98 percent of the voters rejected water privatization. Massive popular opposition and a Supreme Court decision have since obliged the government to freeze the privatization process. This, however, is only a partial victory; Initiative 136 continues organizing to make social control of water a reality.","Κίνηση 136
The official campaign website
Website
http://www.136.gr/

What is Initiative 136?
A description of Initiative 136 on the campaign website
Article
http://www.136.gr/article/what-initiative-136

Greeks Stand Up to Protect Their Water From Privatization
Article on Initiative 136 in On The Commons
Article
http://onthecommons.org/magazine/greeks-stand-protect-their-water-privatization",Theodoros Karyotis,Advances justice; Builds resilience; Cultivates abundance; Deepens democracy; Displaces extractive industry; Extends the commons,"Boulder, Colorado vs. Xcel energy; Great Lakes Commons Initiative; Thessaloniki's social solidarity clinic",Re-municipalization; Solutions seized through direct action,Stewardship; The commons,democracy; movement building; policy; resource use; stewardship,Local,,Initiative 136,"Thessaloniki, Greece",2011&ndash;Present,https://drive.google.com/file/d/0B9V3YcrBGGVfXzJIcEVTV2JhNnM/edit?usp=sharing,Initiative-136.jpg,Initiative 136 members campaign to keep water public in Greece.,,Initiative 136,
a16E0000002QHSA,Basic income,Solution,"A basic income (a.k.a. guaranteed income or social wage) is a policy that’s useful for furthering so many critical projects that it is often called a “non-reformist reform.” Were the government to distribute an unconditional income sufficient for subsistence to every permanent resident, it would mitigate poverty, empower women, increase workers’ leverage in labor conflicts, provide people with the resources they need to participate in political and cultural life, and counteract the ecologically disastrous market imperative to incessantly extract, produce, and consume. Though this measure may sound idealistic, we know it can work: among other examples around the globe, Alaskans receive a small, variable guaranteed income.","Basic Income News
An online aggregator of global news about basic income
Website
http://binews.org/about/

A Town Without Poverty?
Canada’s only experiment in guaranteed income
Article
http://www.dominionpaper.ca/articles/4100

The US Basic Income Guarantee Network
A network promoting the idea of a basic income in the US
Website
http://www.usbig.net/index.php

Switzerland’s Proposal to Pay People for Being Alive
NYT’s Annie Lowry on Switzerland’s basic income campaign
Article
http://www.nytimes.com/2013/11/17/magazine/switzerlands-proposal-to-pay-people-for-being-alive.html?pagewanted=all&_r=0",Jesse Myerson,Celebrates life; Creates more possibilities; Cultivates abundance; Extends the commons,Alaska Permanent Fund,Land value tax; Maximum wage; Wage ratios,Economic democracy,community development; economics; equity; policy; taxation; well-being,National,,,,,https://drive.google.com/file/d/0B9V3YcrBGGVfNmdaMXQyaGgyaEE/edit?usp=sharing,Basic-Income.jpg,"“The solution to poverty is to abolish it directly” - Martin Luther King, Jr.",non-commercial share alike,Russel Shaw Higgs,https://flic.kr/p/dXDLVR
a16E0000002QHSB,Re-municipalization,Solution,"Re-municipalization refers to efforts by citizens to reverse the privatization of local services. It is most closely associated with movements to return local water services to public control, but can also include other important local services such as waste management, recycling, and energy generation. Significant examples of re-municipalization include cities like Paris and Buenos Aires, where previous private control of local water by transnationals Suez and Veolia resulted in soaring water fees, reduced access, crumbling infrastructure and poorer water quality. Re-municipalization represents an important challenge to neoliberalism because it repudiates the supposed superiority of private ownership and control of public goods, and shows that public utilities lost to privatization can, with concerted citizen action, be reclaimed.","Re-municipalization: Putting water back into public hands
Short video explaining re-muncipalization of water
Video
https://www.youtube.com/watch?v=BlSM1TPm_k8

Municipal Services Project
Case studies of successful re-municipalization initiatives
Website
http://www.municipalservicesproject.org",Simon Enoch,Advances justice; Cultivates abundance; Deepens democracy; Displaces extractive industry; Extends the commons,"Boulder, Colorado vs. Xcel energy; Initiative 136",Public ownership,Economic democracy; Pluralist commonwealth; Stewardship; The commons,community development; energy; financing; policy; resource use; stewardship,Local,,,,,https://drive.google.com/file/d/0B9V3YcrBGGVfVHNQVGhJUjBxQk0/edit?usp=sharing,Remunicipalization.jpg,A demonstration for the re-municipalization of Hamburg’s energy utilities by the Our Hamburg—Our Grid coalition.,,Unser Hamburg - Unser Netz,https://www.facebook.com/Unser.Hamburg.Unser.Netz/photos/pb.100240010029504.-2207520000.1410669283./540053689381465/?type=3&theater
a16E0000002QHSC,Solidarity economics,Theory,"Solidarity economics is a tradition of radical economic theory and organizing practice that originated in Latin America in the mid 1980s. Embracing a belief that people are deeply creative and capable of developing their own solutions, it rejects one-size-fits-all economic blueprints and instead seeks to identify existing diverse instances of liberatory livelihood practice, linking them together in mutually supportive networks. Solidarity economics draws on elements from utopian socialism, anarchism, non-statist Marxism, cooperativism, and pedagogy for liberation. It proposes that instead of “waiting for the revolution,” we can do this work now, building “solidarity chains” linking value-resonant livelihood practices — simultaneously challenging our dependence on exploitative economic relations while replacing them with forms of creative solidarity.","Solidarity Economics: Strategies for Building New Economies
An introductory booklet by Ethan Miller
Book
http://www.geo.coop/sites/default/files/SolidarityEconomicsEthanMiller.pdf

A Non-Patriarchal Economy Is Possible
A booklet on solidarity economics that spans four continents
Book
http://aloe.socioeco.org/ressource612.html?lang=fr

The US Solidarity Economy Network Resource Page
Books, articles, and links on the solidarity economy
Website
http://www.ussen.org/resources

Socioeco.org
International resource website on the social and solidarity economy
Website
http://www.socioeco.org/index_en.html",Ethan Miller,Advances justice; Builds resilience; Creates more possibilities; Cultivates abundance; Deepens democracy; Displaces extractive industry; Extends the commons,Marinaleda's direct action economy; Solidarity NYC; Thessaloniki's social solidarity clinic; Trade school: barter-for-knowledge,Community land trusts; Housing cooperative; Non-extractive financial cooperative; Participatory budgeting; Resilience circles; Timebanking; Worker cooperative,Cooperative commonwealth; Economic democracy; Horizontalism; Pluralist commonwealth; Resilience-based organizing; Sense of place,decision-making; democracy; economics; governance; justice,,,,,,https://drive.google.com/file/d/0B9V3YcrBGGVfMElaRERxTy04NjA/edit?usp=sharing,Solidarity-Economics.jpg,The solidarity economy is a set of interconnected and diverse ways of generating livelihoods.,,SolidarityNYC,https://vimeo.com/81818864
a16E0000002QHSD,Comunalidad,Theory,"Comunalidad is an ever-evolving framework, a dialogue between the lived experience of pueblos in Mesoamerica and indigenous anthropologists naming and describing this worldview and perspective. The theory centers around four pillars of communal life: communal authority and governance via the popular assembly; communal territory, or land held in common; communal celebration, or feast days; and communal work for the benefit of the whole. For activists today, living models of self-governing community are potentially valuable, as well as paradoxical and sometimes difficult to imagine applied in Western contexts of the Global North. Given that comunalidad is deeply woven into place itself, uprooting the theory without this grounded connection poses serious challenges.","Defying Inequality by Fortifying Communal Life
Experiences of ‘comunalidad’ from Oaxaca
Video
http://www.latinamericalearning.org/node/312

The Fourth Principle: Comunalidad by Jaime Martinez Luna
Chapter from New World of Indigenous Resistance
Article
http://realitysandwich.com/55644/the_fourth_principle_comunalidad/

New World of Indigenous Resistance
Edited by Noam Chomsky, Lois Meyer & Benjamín Malnador
Book
http://www.citylights.com/book/?GCOI=87286100162960

Interweaving people and the land: Choba-choba and comunalidad
By Kelly Teamey, Enlivened Learning
Article
http://enlivenedlearning.com/2013/02/28/inter-weaving-people-and-the-land-choba-choba-and-comunalidad/",Aerin Dunford,Advances justice; Builds resilience; Celebrates life; Creates more possibilities; Cultivates abundance; Deepens democracy; Displaces extractive industry; Extends the commons,,,Environmental justice; Horizontalism; Sense of place; Solidarity economics; The commons; Usufruct,community development; culture; decision-making; democracy; economics; governance; land use; living economies; resource use; stewardship; well-being,,,,,,https://drive.google.com/file/d/0B9V3YcrBGGVfa1lPdmFTakp6Q3c/edit?usp=sharing,Comunalidad.jpg,"Mural of Zapatista woman wearing a balaclava mask made of maize, Oventic, Zapatista Caracole.",,"Kelly Teamey, Enlivened Learning",http://enlivenedlearning.com/2012/12/28/without-maize-there-is-no-country-part-2-milpa-cosmovision-and-food-sovereignty/
a16E0000002QHSE,Usufruct,Theory,"Usufruct is the right to use and enjoy the “fruits” of a given resource, as long as the resource itself is preserved. The term comes from Roman property law, but is also used to describe ancient and Indigenous land-use paradigms in which land is held in common while individuals retain the right to hunt, fish, garden, or otherwise use the land sustainably. Usufruct is a key tenet of commons economies, offering a more just and sustainable alternative to private ownership. It is a recognition that we do not own the land and its resources — we are stewards, maintaining and improving our world for future generations.","The Commons in History: Culture, Conflict, and Ecology
A book about the history of the commons by Derek Wall
Book
http://mitpress.mit.edu/books/commons-history

The Enemy of Nature: The End of Capitalism or the End of the World?
by Joel Kovel
Book
http://www.zedbooks.co.uk/node/17315",Paul J. Kuttner,Advances justice; Builds resilience; Creates more possibilities; Cultivates abundance; Deepens democracy; Displaces extractive industry; Extends the commons,Great Lakes Commons Initiative; Greenwave's restorative ocean farming; Initiative 136,Community land trusts; Public ownership; Re-municipalization,Buen vivir; Environmental justice; Stewardship; The commons,agriculture; energy; food; justice; land use; resource use; stewardship; well-being,,,,,,https://drive.google.com/file/d/0B9V3YcrBGGVfSDI0NVYyTFladTA/edit?usp=sharing,Usufruct.jpg,"Usufruct is the right to use and enjoy the “fruits” of a given resource, as long as the resource itself is preserved.",,The Forager's Year,http://foragersyear.wordpress.com/2012/07/10/lemons-citrus-x-limon-and-the-idea-of-usufruct/
a16E0000002QHRk,The Media Co-op,Story,"The Media Co-op seeks to bring the principles of participatory democracy and decentralized decision making to the world of alternative media in Canada. In contrast to an increasingly concentrated corporate ownership of media, the co-op is collectively owned and sustained by its journalists, readers and editors (paid and unpaid), and provides a grassroots perspective on under-reported topics, particularly Indigenous sovereignty and Canadian mining companies. The co-op depends on automatic monthly donations from its reader members for financial support. Major decisions like network-wide projects and budgets typically begin with a membership consultation and discussion, and sometimes involve a referendum. Founded in 2008, the Media Co-op now has autonomous locals operating in Halifax, Montreal, Toronto and Vancouver, and a national magazine called The Dominion .","The Media Co-op: Local Independent News
The homepage for the Media Co-op
Website
http://www.mediacoop.ca/about

The Dominion: news from the grassroots
A national magazine by the Media Co-op
Website
http://www.dominionpaper.ca/

The Dominion - Halifax Media Co-op
A five minute video about the Media Co-op
Video
https://www.youtube.com/watch?v=84kNemIQti0",Dru Oja Jay,Advances justice; Builds resilience; Creates more possibilities; Cultivates abundance; Deepens democracy; Extends the commons,,Worker cooperative,Appropriate scale; Cooperative commonwealth; Horizontalism; Participatory democracy; Sense of place; The commons,art; culture; decision-making; democracy; media,Local; Regional; National,,Media activists across Canada,"Halifax, Montreal, Toronto, Vancouver, and across Canada",2003&ndash;Present,https://drive.google.com/file/d/0B9V3YcrBGGVfYi1HczhsTUhWc28/edit?usp=sharing,The-Media-Co-op.jpg,Creating community media in Halifax.,Submitted by Dru Oja Jay,Maya Rolbin-Ghanie,
a16E0000002QHS3,The Zapatista Little School,Story,"The Zapatistas, the indigenous group that has resisted the Mexican state, neoliberal capitalism, and 500 years of colonization for over two decades, recently welcomed supporters from around the world to come and learn how they are building autonomy in the mountains of southern Mexico. The Escuelita Zapatista (Zapatista Little School) invited students to work the land, break bread together, and experience life in Zapatista communities so they could learn how the Zapatistas are practicing autonomy, horizontality and collective power. For many participants, learning about the Zapatistas’ struggles and successes was an inspiring experience that challenged them to return to their own communities to put what they’d learned into practice.","Freedom According to the Zapatistas: The Launch of the Escuelita
by Andalusia Knoll
Article
http://upsidedownworld.org/main/mexico-archives-79/4428-freedom-according-to-the-zapatistas-the-launch-of-the-escuelita

Autonomous Zapatista Education: The Little Schools of Below
by Raúl Zibechi, Translated by Chiapas Support Committee
Article
http://upsidedownworld.org/main/mexico-archives-79/4427-autonomous-zapatista-education-the-little-schools-of-below

The Escuelita textbooks (in English)
Written by the EZLN
Website
http://dorsetchiapassolidarity.wordpress.com/zapatista-freedom-school/",Moravia de la O,Creates more possibilities; Cultivates abundance; Extends the commons,Trade school: barter-for-knowledge,Solutions seized through direct action,Decolonization; Horizontalism; Participatory democracy; Solidarity organizing,decision-making; democracy; education; indigenous rights; movement building,Local,,The Zapatistas,"Chiapas, Mexico",2013&ndash;Present,https://drive.google.com/file/d/0B9V3YcrBGGVfTHJYaGRGRVRrRjA/edit?usp=sharing,The-Zapatista-Little-School.jpg,Participants arrive at the Zapatista Little School.,,non-commercial share-alike,https://flic.kr/p/j1CHT6
